Hardware VendorTest Sponsor,SystemEnclosure (if applicable),Nodes,JVM Vendor,CPU Description,MHz,Chips,Cores,TotalThreads,TotalMemory (GB),ssj_ops @ 100%,avg. watts@ 100%,avg. watts@ active idle,Result(Overall ssj_ops/watt)
Dell Inc.,"PowerEdge R510

 Oct  6 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,925878,266,56.9,2745
Dell Inc.,"PowerEdge M915
Dell PowerEdge M1000e

 Aug  2 2011 | 
    HTML | 
    Text",8,IBM Corporation,AMD Opteron 6176,2300,32,384,384,256,14793524,4219,1068,2716
Dell Inc.,"PowerEdge M710HD
Dell PowerEdge M1000e

 Sep 21 2011 | 
    HTML | 
    Text",16,Oracle Corporation,Intel Xeon X5675,3060,32,192,384,384,15173592,3780,972,3162
Dell Inc.,"PowerEdge M610
Dell PowerEdge M1000e

 Nov  2 2011 | 
    HTML | 
    Text",16,Oracle Corporation,Intel Xeon X5675,3060,32,192,384,384,14760777,3504,873,3348
Dell Inc.,"PowerEdge C6100 (Intel Xeon X5675 3.06 GHz)
PowerEdge C6100

 Nov  2 2011 | 
    HTML | 
    Text",4,Oracle Corporation,Intel Xeon 5675,3067,8,48,96,64,3662415,895,227,3281


Dell Inc.,"Dell PowerEdge R710 (Intel Xeon X5675 3.06 GHz)

 Nov  2 2011 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon X5675,3066,2,12,24,24,955936,227,62.2,3214
Dell Inc.,"PowerEdge M915
Dell PowerEdge M1000e

 Nov 16 2011 | 
    HTML | 
    Text",8,IBM Corporation,AMD Opteron 6276,2300,32,512,512,512,17898948,4847,1107,2919
Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2670 2.6 GHz)

 Mar 21 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2670,2600,2,16,32,24,1236124,243,54.1,4446
